customer_id,is_pass,is_loan,is_overdue,age,live_state,cont_list_no,ap_pd24h,ap_pd30d,ap_long3d,ap_long90d,ap_al,ap_dd_1lo,ap_dd_lalo,ap_dd_1lo_1ap,cd_score,cd_open_acct,cd_ovdu_acct,cd_ovdu_amt,cd_tot_bal,cd_enq_tot60d,cd_enq_org30d,gender_v_Male,education_v_12th,education_v_Below 10th,education_v_Doctorate/PhD,education_v_Graduation/Diploma,education_v_Masters/Post-Graduation,"mon_salary_v_100,000-200,000","mon_salary_v_15,000-20,000","mon_salary_v_20,000-30,000","mon_salary_v_200,000-500,000","mon_salary_v_30,000-50,000","mon_salary_v_50,000-100,000","mon_salary_v_<10,000","mon_salary_v_>=500,000",marriage_v_Single,marriage_v_Widowed,residence_type_v_Other,residence_type_v_PG,residence_type_v_Rent,employ_stat_v_Self-employed,employ_stat_v_Student,employ_stat_v_Unemployed,occupation_v_Clerical support workers,occupation_v_Craft and related trades workers,occupation_v_Elementary occupations,occupation_v_Managers,"occupation_v_Plant and machine operators, and assemblers",occupation_v_Professional,"occupation_v_Skilled agricultural, forestry and fishery workers",occupation_v_Technicians and associate prefessionals,cont1_rel_v_Friend,cont1_rel_v_Mother,cont1_rel_v_Sibling,cont1_rel_v_Spouse,cont2_rel_v_Mother,cont2_rel_v_Spouse
L1022001037901347226319912960,0,0,0,27,10340000,654,1.0,1.0,0.0,0.0,260.0,71.0,0.0,18218.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
L1022001257909408352946552832,0,0,0,27,10190000,407,1.0,2.0,0.0,0.0,294.0,245.0,0.0,17611.0,704.0,6.0,0.0,0.0,125318.0,5.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
L1022001227908230665716563968,0,0,0,25,10030000,323,0.0,2.0,0.0,0.0,301.0,122.0,15.0,18160.0,582.3666622,3.74749499,0.783767535,14360.87081,193834.4737,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L1022001167905993884674883584,1,0,0,30,10340000,139,0.0,3.0,0.0,0.0,283.0,51.0,21.0,18231.0,5.0,1.0,0.0,0.0,4135.0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
L1022001017900531890354716672,1,1,0,36,10340000,229,0.0,2.0,0.0,4.0,222.0,109.0,22.0,3931.0,746.0,5.0,0.0,0.0,167030.0,1.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1022001047901761689078530048,0,0,0,38,10150000,207,0.0,8.0,0.0,3.0,149.0,187.0,3.0,18021.0,608.0,5.0,1.0,6501.0,160046.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
L1022001207907512975574106112,1,1,0,29,10200000,357,0.0,2.0,0.0,1.0,408.0,416.0,24.0,3630.0,714.0,1.0,0.0,0.0,0.0,5.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
L1022001287910566285583515648,0,0,0,31,10330000,477,0.0,1.0,0.0,2.0,287.0,80.0,6.0,3953.0,643.0,5.0,2.0,3316.0,99766.0,1.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001247908940066614083584,0,0,0,28,10010000,656,1.0,10.0,1.0,10.0,313.0,13.0,0.0,4028.0,749.0,15.0,3.0,791.0,371153.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1022001027901055503618998272,1,1,0,42,10150000,264,0.0,5.0,0.0,5.0,285.0,332.0,6.0,17959.0,762.0,9.0,0.0,0.0,141138.0,2.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
L1022001287910403764553711616,1,1,0,28,10140000,174,1.0,7.0,1.0,4.0,310.0,135.0,0.0,253.0,5.0,1.0,0.0,0.0,4136.0,3.0,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
